0,1,2,3
86.5,4.7,86.6,4.8
86.6,4.8,87.8,4.8
87.8,4.8,87.9,4.7
87.9,4.7,87.8,4.6
87.8,4.6,86.6,4.6
86.2,4.7,86.3,4.8
86.3,4.8,86.4,4.8
86.4,4.8,86.5,4.7
86.5,4.7,86.4,4.6
86.4,4.6,86.3,4.6
76.3,4.7,76.4,4.8
76.4,4.8,76.5,4.8
76.5,4.8,76.6,4.7
76.6,4.7,76.5,4.6
76.5,4.6,76.4,4.6
75.4,4.7,75.5,4.8
75.5,4.8,76.2,4.8
76.2,4.8,76.3,4.7
76.3,4.7,76.2,4.6
76.2,4.6,75.5,4.6
75.2,4.7,75.3,4.8
75.3,4.8,75.4,4.7
75.4,4.7,75.3,4.6
70.6,4.7,70.7,4.8
70.7,4.8,71.2,4.8
71.2,4.8,71.3,4.7
71.3,4.7,71.2,4.6
71.2,4.6,70.7,4.6
66.8,4.7,66.9,4.8
66.9,4.8,67.9,4.8
67.9,4.8,68.0,4.7
68.0,4.7,67.9,4.6
67.9,4.6,66.9,4.6
64.3,4.7,64.4,4.8
64.4,4.8,64.8,4.8
64.8,4.8,64.9,4.7
64.9,4.7,64.8,4.6
64.8,4.6,64.4,4.6
63.1,4.7,63.2,4.8
63.2,4.8,63.3,4.8
63.3,4.8,63.4,4.7
63.4,4.7,63.3,4.6
63.3,4.6,63.2,4.6
47.3,4.7,47.4,4.8
47.4,4.8,47.5,4.7
47.5,4.7,47.4,4.6
45.8,4.7,45.9,4.8
45.9,4.8,47.1,4.8
47.1,4.8,47.2,4.7
47.2,4.7,47.1,4.6
47.1,4.6,45.9,4.6
41.5,4.7,41.6,4.8
41.6,4.8,43.2,4.8
43.2,4.8,43.3,4.7
43.3,4.7,43.2,4.6
43.2,4.6,41.6,4.6
38.5,4.7,38.6,4.8
38.6,4.8,39.0,4.8
39.0,4.8,39.1,4.7
39.1,4.7,39.0,4.6
39.0,4.6,38.6,4.6
37.6,4.7,37.7,4.8
37.7,4.8,38.1,4.8
38.1,4.8,38.2,4.7
38.2,4.7,38.1,4.6
38.1,4.6,37.7,4.6
36.5,4.7,36.6,4.8
36.6,4.8,37.5,4.8
37.5,4.8,37.6,4.7
37.6,4.7,37.5,4.6
37.5,4.6,36.6,4.6
33.3,4.7,33.4,4.8
33.4,4.8,34.5,4.8
34.5,4.8,34.6,4.7
34.6,4.7,34.5,4.6
34.5,4.6,33.4,4.6
32.4,4.7,32.5,4.8
32.5,4.8,32.6,4.7
32.6,4.7,32.5,4.6
25.8,4.7,25.9,4.8
25.9,4.8,26.6,4.8
26.6,4.8,26.7,4.7
26.7,4.7,26.6,4.6
26.6,4.6,25.9,4.6
22.8,4.7,22.9,4.8
22.9,4.8,23.4,4.8
23.4,4.8,23.5,4.7
23.5,4.7,23.4,4.6
23.4,4.6,22.9,4.6
17.8,4.7,17.9,4.8
17.9,4.8,18.9,4.8
18.9,4.8,19.0,4.7
19.0,4.7,18.9,4.6
18.9,4.6,17.9,4.6
108.7,4.9,108.8,4.8
108.8,4.8,108.8,4.7
108.8,4.7,108.7,4.6
108.7,4.6,108.6,4.6
108.6,4.6,108.5,4.7
78.8,4.8,78.9,4.9
78.9,4.9,79.0,4.8
79.0,4.8,79.0,4.7
79.0,4.7,78.9,4.6
78.9,4.6,78.8,4.7
